short Name,Name,time,crop,mu1,sigma1,height1,mu2,sigma2,height2
0426_1_1,20220426_s1_QI_AFM_PSPIP2_hex120_GTA.xlsx,13.40.39.612,,10.95008061,1.03093487,0.08223081,14.53581172,2.84460911,0.10662792
0426_1_2,20220426_s1_QI_AFM_PSPIP2_hex120_GTA.xlsx,13.22.46.151,,8.49128268,0.97866015,0.1183181,11.88052613,2.7619003,0.10063976
0426_1_3,20220426_s1_QI_AFM_PSPIP2_hex120_GTA.xlsx,13.34.32.024,,15.4634428,1.02364039,0.0889389,19.04442351,2.62200364,0.11276407
0426_1_4,20220426_s1_QI_AFM_PSPIP2_hex120_GTA.xlsx,13.13.43.075,,10.0491819,0.97986078,0.10291773,13.20149797,2.73962282,0.10517162
0426_1_5,20220426_s1_QI_AFM_PSPIP2_hex120_GTA.xlsx,12.25.01.480,,11.95331518,1.46069614,0.07937746,14.59587124,2.69961106,0.10055992
0426_1_6,20220426_s1_QI_AFM_PSPIP2_hex120_GTA.xlsx,12.11.51.450,,5.34288958,0.9578391,0.08030348,8.38593027,2.78826181,0.11197487
0428_1_1,20220428_s1_QI_AFM_PSPIP2_hex120_GTA.xlsx,11.46.12.944,,6.69979548,0.85390204,0.19727855,9.5514645,2.19788673,0.10251474
0428_1_2,20220428_s1_QI_AFM_PSPIP2_hex120_GTA.xlsx,11.51.16.301,,13.94421452,0.92508294,0.16055464,16.70604474,2.2223488,0.10748868
0428_1_3,20220428_s1_QI_AFM_PSPIP2_hex120_GTA.xlsx,12.01.55.152,,4.65436936,0.84217921,0.1628358,7.70308319,1.94634308,0.12806962
0428_1_4,20220428_s1_QI_AFM_PSPIP2_hex120_GTA.xlsx,12.11.01.977,,11.75106654,0.93783735,0.18808012,15.03433006,2.09413164,0.10182504
0428_2p_1,20220428_s2_PF_AFM_PSPIP2_hex120_GTA.xlsx,13.48.45.890,,5.51480665,0.90003631,0.06984546,9.59225846,1.35795668,0.24445473
0428_2p_2,20220428_s2_PF_AFM_PSPIP2_hex120_GTA.xlsx,13.50.04.399,,6.23478188,1.177801,0.05127213,11.07212975,1.58429284,0.20712166
0428_2p_3,20220428_s2_PF_AFM_PSPIP2_hex120_GTA.xlsx,13.56.39.259,,6.00736085,1.39532764,0.03934125,11.20762438,1.68304725,0.1902782
0428_2p_4,20220428_s2_PF_AFM_PSPIP2_hex120_GTA.xlsx,14.00.39.674,,13.29710082,1.86377048,0.03383456,17.46037164,1.57067492,0.19742501
0428_2_1,20220428_s2_QI_AFM_PSPIP2_hex120_GTA.xlsx,12.30.03.626,,7.56580632,1.34768317,0.08191986,12.46871063,1.72435232,0.16389007
0428_2_2,20220428_s2_QI_AFM_PSPIP2_hex120_GTA.xlsx,12.39.25.200,,7.86686724,1.21061947,0.08186733,12.74598367,1.75816747,0.1663008
0428_2_3,20220428_s2_QI_AFM_PSPIP2_hex120_GTA.xlsx,13.13.57.624,,7.56918968,1.04830198,0.0763852,12.09225625,1.62454887,0.18979477
0428_2_4,20220428_s2_QI_AFM_PSPIP2_hex120_GTA.xlsx,13.21.43.325,,4.31559728,0.8719317,0.08221763,8.38670902,1.45319178,0.2207453
0428_2_5,20220428_s2_QI_AFM_PSPIP2_hex120_GTA.xlsx,13.35.40.981,,6.99202035,0.93474938,0.12019481,12.11714947,1.66904832,0.1686582
0428_3_1,20220428_s3_PF_AFM_PSPIP2_hex120_GTA xlsx,14.27.34.852,,7.89683203,1.1930926,0.08167649,13.23063831,2.18320888,0.13093922
0428_3_2,20220428_s3_PF_AFM_PSPIP2_hex120_GTA xlsx,14.39.36.417,,8.00845313,0.76121185,0.04239291,11.22460425,2.54750188,0.13900599
0428_3_3,20220428_s3_PF_AFM_PSPIP2_hex120_GTA xlsx,14.44.39.045,"[0:380,0:512]",4.20729322,0.95199855,0.05708395,7.2438845,2.44999653,0.13870875
0428_3_4a,20220428_s3_PF_AFM_PSPIP2_hex120_GTA xlsx,14.51.14.652,"[0:260,0:512]",1.05E+01,1.39E+00,1.14E-02,1.67E+01,2.71E+00,1.29E-01
0428_3_4b,20220428_s3_PF_AFM_PSPIP2_hex120_GTA xlsx,14.51.14.652,"[300:512,0:375]",12.32817881,1.36413165,0.02569052,17.6996585,2.43860376,0.13630475
0428_3_5a,20220428_s3_PF_AFM_PSPIP2_hex120_GTA xlsx,14.56.17.306,"[0:260,0:512]",12.02180884,1.67575184,0.03850504,17.63931922,2.68404988,0.11420871
0428_3_5b,20220428_s3_PF_AFM_PSPIP2_hex120_GTA xlsx,14.56.17.306,"[300:512,0:375]",2.27E+01,1.72E+00,2.24E-02,2.87E+01,2.77E+00,1.13E-01
0428_3_6,20220428_s3_PF_AFM_PSPIP2_hex120_GTA xlsx,15.01.33.455,,13.68337538,1.49210845,0.03347872,19.26493576,2.8256732,0.11150481
0428_3_7,20220428_s3_PF_AFM_PSPIP2_hex120_GTA xlsx,15.06.53.642,,10.17966965,-1.32230347,0.05867144,15.81869979,2.38337064,0.123174
0428_3_8,20220428_s3_PF_AFM_PSPIP2_hex120_GTA xlsx,15.49.18.872,,9.43337161,2.21392832,0.03026535,13.8614795,3.02397641,0.10333464
